Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
2,"AC Marcén, J Font, Ó Pastor, C Cetina","Towards feature location in models through a learning to rank approach",2017,"Proceedings of the 21st …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3109734","https://scholar.google.com/scholar?cites=2556932348323754923&as_sdt=2005&sciodt=0,5&hl=en",41,"2018-11-02","","","","",,,,,2,2.00,1,4,1
1,"D Binkley, D Lawrie, C Morrell","The need for software specific natural language techniques",2018,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-017-9566-5","https://scholar.google.com/scholar?cites=17500363103832234721&as_sdt=2005&sciodt=0,5&hl=en",42,"2018-11-02","","","","",,,,,1,1.00,0,3,1
8,"S Rao, H Medeiros, A Kak","An incremental update framework for efficient retrieval from software libraries for bug localization",2013,"Reverse Engineering (WCRE) …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6671281/","https://scholar.google.com/scholar?cites=16684438119324727693&as_sdt=2005&sciodt=0,5&hl=en",43,"2018-11-02","","","","",,,,,8,1.60,3,3,5
0,"F Pérez, J Font, L Arcega, C Cetina","Automatic query reformulations for feature location in a model-based family of software products",2018,"Data & Knowledge Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169023X17301714","",44,"2018-11-02","","","","",,,,,0,0.00,0,4,1
0,"MM Rahman, CK Roy","Improving IR-Based Bug Localization with Context-Aware Query Reformulation",2018,"arXiv preprint arXiv:1808.00594","arxiv.org","https://arxiv.org/abs/1808.00594","",45,"2018-11-02","","","","",,,,,0,0.00,0,2,1
3,"MM Rahman, CK Roy","Improved query reformulation for concept location using CodeRank and document structures",2017,"Proceedings of the 32nd IEEE/ACM International …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3155618","https://scholar.google.com/scholar?cites=6159276214274771179&as_sdt=2005&sciodt=0,5&hl=en",46,"2018-11-02","","","","",,,,,3,3.00,2,2,1
0,"C Mills, J Pantiuchina, E Parra, G Bavota, S Haiduc","Are Bug Reports Enough for Text Retrieval-based Bug Localization?",,"cs.fsu.edu","","http://www.cs.fsu.edu/~serene/wp-content/uploads/2018/07/PID5473225.pdf","",47,"2018-11-02","PDF","","","",,,,,0,0.00,0,5,
0,"A Marcus, A Sergeyev, V Rajlich, J Maletic","BEHIND THE PAPER",,"pdfs.semanticscholar.org","","https://pdfs.semanticscholar.org/dd8d/b844f215e8ee40a14119530acbe8fa503255.pdf","",48,"2018-11-02","PDF","","","",,,,,0,0.00,0,4,
0,"R Gharibi, AH Rasekh, MH Sadreddini…","Leveraging textual properties of bug reports to localize relevant source files",2018,"Information Processing …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306457318301092","",49,"2018-11-02","","","","",,,,,0,0.00,0,4,1
0,"AFW Riaño","Analyzing the Impact of Information Retrieval and Relevance Feedback Techniques on Concept Location Tasks",,"bdigital.unal.edu.co","","http://bdigital.unal.edu.co/61512/7/andresfernandowilchesria%C3%B1o.2017.pdf","",50,"2018-11-02","PDF","","","",,,,,0,0.00,0,1,
0,"MM Rahman, CK Roy, D Lo","RACK: Code search in the IDE using crowdsourced knowledge",2017,"… (ICSE-C), 2017 IEEE/ACM 39th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7965255/","",51,"2018-11-02","","","","",,,,,0,0.00,0,3,1
0,"H Niu","Improving Code Search Using Learning-to-Rank and Query Reformulation Techniques",2015,"","qspace.library.queensu.ca","http://qspace.library.queensu.ca/handle/1974/13431","",52,"2018-11-02","","","","",,,,,0,0.00,0,1,3
0,"MM Rahman, CK Roy","Effective Reformulation of Query for Code Search using Crowdsourced Knowledge and Extra-Large Data Analytics",2018,"arXiv preprint arXiv:1807.08798","arxiv.org","https://arxiv.org/abs/1807.08798","",53,"2018-11-02","","","","",,,,,0,0.00,0,2,1
0,"F Pérez, AC Marcén, R Lapeña, C Cetina","Introducing Collaboration for Locating Features in Models: Approach and Industrial Evaluation",2017,"… International Conferences"" On …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-69462-7_9","",54,"2018-11-02","","","","",,,,,0,0.00,0,4,1
0,"ABW Bandara","On The Relationship Between The Vocabulary Of Bug Reports And Source Code",2013,"","digitalcommons.wayne.edu","https://digitalcommons.wayne.edu/oa_theses/289/","",55,"2018-11-02","","","","",,,,,0,0.00,0,1,5
0,"BP Eddy","Using the structural location of terms to improve the results of text retrieval based approaches to feature location",2015,"","ir.ua.edu","http://ir.ua.edu/handle/123456789/2383","",56,"2018-11-02","","","","",,,,,0,0.00,0,1,3
0,"L Arcega, J Font, C Cetina","Evolutionary Algorithm for Bug Localization in the Reconfigurations of Models at Runtime",2018,"Proceedings of the 21th ACM/IEEE …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3239392","",57,"2018-11-02","","","","",,,,,0,0.00,0,3,1
0,"B Sisman","Source code retrieval from large software libraries for automatic bug localization",2013,"","docs.lib.purdue.edu","https://docs.lib.purdue.edu/open_access_dissertations/66/","",58,"2018-11-02","","","","",,,,,0,0.00,0,1,5
0,"S Wang","Multimodal Code Search",2015,"","ink.library.smu.edu.sg","https://ink.library.smu.edu.sg/etd_coll/116/","",59,"2018-11-02","","","","",,,,,0,0.00,0,1,3
0,"F Pérez, R Lapeña, J Font, C Cetina","Fragment retrieval on models for model maintenance: Applying a multi-objective perspective to an industrial case study",2018,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584918301307","",60,"2018-11-02","","","","",,,,,0,0.00,0,4,1
64,"S Yoo","Evolving human competitive spectra-based fault localisation techniques",2012,"International Symposium on Search Based Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-33119-0_18","https://scholar.google.com/scholar?cites=17357434222679221094&as_sdt=2005&sciodt=0,5&hl=en",61,"2018-11-02","","","","",,,,,64,10.67,64,1,6
2,"D Binkley, D Lawrie","The impact of vocabulary normalization",2015,"Journal of Software: Evolution and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1710","https://scholar.google.com/scholar?cites=17449402485310588780&as_sdt=2005&sciodt=0,5&hl=en",62,"2018-11-02","","","","",,,,,2,0.67,1,2,3
44,"E Hill","Integrating natural language and program structure information to improve software search and exploration",2010,"","researchgate.net","https://www.researchgate.net/profile/Emily_Hill8/publication/268349570_Natural_Language-Based_Software_Analyses_and_Tools_for_Software_Maintenance/links/55f87e0908ae07629dd731a5/Natural-Language-Based-Software-Analyses-and-Tools-for-Software-Maintenance.pdf","https://scholar.google.com/scholar?cites=250474590714599308&as_sdt=2005&sciodt=0,5&hl=en",63,"2018-11-02","BOOK","","","",,,,,44,5.50,44,1,8
1,"Z Lin, Y Zou, J Zhao, B Xie","Improving software text retrieval using conceptual knowledge in source code",2017,"Proceedings of the 32nd IEEE/ACM …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3155582","https://scholar.google.com/scholar?cites=12360073045746699458&as_sdt=2005&sciodt=0,5&hl=en",64,"2018-11-02","","","","",,,,,1,1.00,0,4,1
27,"M Ito","Network localities: Identity, place, and digital media",1999,"Paper. In: 1999 meetings of the Society for the Social …","academia.edu","http://www.academia.edu/download/30697329/locality.pdf","https://scholar.google.com/scholar?cites=8373385517852066890&as_sdt=2005&sciodt=0,5&hl=en",65,"2018-11-02","PDF","","","",,,,,27,1.42,27,1,19
1,"NT Alhindawi","Supporting Source Code Comprehension During Software Evolution and Maintenance",2013,"","rave.ohiolink.edu","http://rave.ohiolink.edu/etdc/view?acc_num=kent1374790792","https://scholar.google.com/scholar?cites=1706057943498005809&as_sdt=2005&sciodt=0,5&hl=en",66,"2018-11-02","","","","",,,,,1,0.20,1,1,5
126,"WE Wong, V Debroy","A survey of software fault localization",2009,"… of Computer Science, University of Texas …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/iel7/32/4359463/07390282.pdf","https://scholar.google.com/scholar?cites=6407918330060559846&as_sdt=2005&sciodt=0,5&hl=en",67,"2018-11-02","","","","",,,,,126,14.00,63,2,9
61,"C Pasquier","Biological data integration using Semantic Web technologies",2008,"Biochimie","Elsevier","https://www.sciencedirect.com/science/article/pii/S0300908408000412","https://scholar.google.com/scholar?cites=8082244600859956631&as_sdt=2005&sciodt=0,5&hl=en",68,"2018-11-02","","","","",,,,,61,6.10,61,1,10
6,"A Yousefi, A Wassyng","A call graph mining and matching based defect localization technique",2013,"2013 IEEE Sixth International Conference on …","computer.org","https://www.computer.org/csdl/proceedings/icstw/2013/4993/00/4993a086-abs.html","https://scholar.google.com/scholar?cites=12883602613593330660&as_sdt=2005&sciodt=0,5&hl=en",69,"2018-11-02","","","","",,,,,6,1.20,3,2,5
2,"M Petrenko","On use of dependency and semantics information in incremental change",2009,"","search.proquest.com","http://search.proquest.com/openview/7a3c540acd571f4b935ec35f516222f3/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=7067575251527257591&as_sdt=2005&sciodt=0,5&hl=en",70,"2018-11-02","","","","",,,,,2,0.22,2,1,9
0,"Y Zhang, D Lo, X Xia, J Jiang, J Sun","Recommending frequently encountered bugs",2018,"Proceedings of the 26th …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3196348","",71,"2018-11-02","","","","",,,,,0,0.00,0,5,1
1,"X Wang","Exploring action unit granularity of source code for supporting software maintenance",2017,"","dspace.udel.edu","http://dspace.udel.edu/handle/19716/21806","https://scholar.google.com/scholar?cites=14913259539481409679&as_sdt=2005&sciodt=0,5&hl=en",72,"2018-11-02","","","","",,,,,1,1.00,1,1,1
24,"K Dunne","Putting the cart behind the horse: rethinking localization quality management",2006,"Perspectives on localization","books.google.com","https://books.google.com/books?hl=en&lr=&id=BY86AAAAQBAJ&oi=fnd&pg=PA95&dq=%22(%22query+reformulation%22+)+++AND+++(++%22bug+localization%22++OR++%22concept+location%22++OR++%22feature+location%22++OR++%22concern+location%22++OR++%22code+search%22+++)%22&ots=yZGwNbuBlf&sig=_kiy_s2Xlm754M8NlnFeXWTpJHQ","https://scholar.google.com/scholar?cites=9458662540379358218&as_sdt=2005&sciodt=0,5&hl=en",73,"2018-11-02","","","","",,,,,24,2.00,24,1,12
7,"S De la Barre","Place identity, guides, and sustainable tourism in Canada's Yukon Territory",2009,"","era.library.ualberta.ca","https://era.library.ualberta.ca/items/74c80dce-609e-41c9-b388-d6393775f561/view/c131cece-c7bf-4049-8f16-ea14fa2d168c/de%2520la%2520Barre_Suzanne_%2520Fall%25202009.pdf","https://scholar.google.com/scholar?cites=3478481107156625462&as_sdt=2005&sciodt=0,5&hl=en",74,"2018-11-02","PDF","","","",,,,,7,0.78,7,1,9
10,"A Mahmoud, G Bradshaw","Estimating semantic relatedness in source code",2015,"ACM Transactions on Software Engineering …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2824251","https://scholar.google.com/scholar?cites=2908788361055082020&as_sdt=2005&sciodt=0,5&hl=en",75,"2018-11-02","","","","",,,,,10,3.33,5,2,3
1,"B Dit","Configuring and Assembling Information Retrieval based Solutions for Software Engineering Tasks",2015,"","search.proquest.com","http://search.proquest.com/openview/58f3850bc9321891b9a480d0eaf83cc2/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=13769650780529043215&as_sdt=2005&sciodt=0,5&hl=en",76,"2018-11-02","BOOK","","","",,,,,1,0.33,1,1,3
7,"SK Bajracharya","Facilitating internet-scale code retrieval",2010,"","search.proquest.com","http://search.proquest.com/openview/4cf3791d8aaed00392278597d38e917b/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=15746223579315045543&as_sdt=2005&sciodt=0,5&hl=en",77,"2018-11-02","BOOK","","","",,,,,7,0.88,7,1,8
0,"TVD Hoang, RJ Oentaryo, TDB Le…","Network-Clustered Multi-Modal Bug Localization",2018,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8306117/","",78,"2018-11-02","","","","",,,,,0,0.00,0,4,1
0,"B Dit","APPROVAL PAGE",2015,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.699.7385&rep=rep1&type=pdf","",79,"2018-11-02","PDF","","","",,,,,0,0.00,0,1,3
311,"C Parnin, A Orso","Are automated debugging techniques actually helping programmers?",2011,"Proceedings of the 2011 international symposium on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2001445","https://scholar.google.com/scholar?cites=17278179178396840794&as_sdt=2005&sciodt=0,5&hl=en",80,"2018-11-02","","","","",,,,,311,44.43,156,2,7
98,"M Martinez, M Monperrus","Mining software repair models for reasoning on the search space of automated program fixing",2015,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-013-9282-8","https://scholar.google.com/scholar?cites=3802066250173340298&as_sdt=2005&sciodt=0,5&hl=en",81,"2018-11-02","","","","",,,,,98,32.67,49,2,3
