Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Relation Extraction from Documents for the Automatic Construction of Ontologies","Future Information Technology","","","","10.1007/978-3-642-22333-4_3","Ikkyu ChoiSeungmin RhoYoung-Sik JeongMinkoo Kim","2011","http://link.springer.com/chapter/10.1007/978-3-642-22333-4_3","Chapter"
"The underlying database models","The Nested Universal Relation Database Model","","","","10.1007/3-540-55493-9_2","","1992","http://link.springer.com/chapter/10.1007/3-540-55493-9_2","Chapter"
"Information Retrieval in Folksonomies: Search and Ranking","The Semantic Web: Research and Applications","","","","10.1007/11762256_31","Andreas HothoRobert JäschkeChristoph SchmitzGerd Stumme","2006","http://link.springer.com/chapter/10.1007/11762256_31","Chapter"
"Introduction","Web Content Credibility","","","","10.1007/978-3-319-77794-8_1","Adam Wierzbicki","2018","http://link.springer.com/chapter/10.1007/978-3-319-77794-8_1","Chapter"
"On the ubiquity of information services and the absence of guaranteed service quality","Advances in Database Technology — EDBT'98","","","","10.1007/BFb0100973","Gerhard Weikum","1998","http://link.springer.com/chapter/10.1007/BFb0100973","Chapter"
"Text Categorization Based on Fuzzy Soft Set Theory","Computational Science and Its Applications – ICCSA 2012","","","","10.1007/978-3-642-31128-4_25","Bana HandagaMustafa Mat Deris","2012","http://link.springer.com/chapter/10.1007/978-3-642-31128-4_25","Chapter"
"Efficient Set-Correlation Operator Inside Databases","Journal of Computer Science and Technology","","31","4","10.1007/s11390-016-1657-z","Fei GaoShao-Xu SongLei ChenJian-Min Wang","2016","http://link.springer.com/article/10.1007/s11390-016-1657-z","Article"
"A Context Aware Data-Centric Storage Scheme in Wireless Sensor Networks","Multimedia, Computer Graphics and Broadcasting","","","","10.1007/978-3-642-27186-1_44","Hyunju KimJunho ParkDongook SeongJaesoo Yoo","2011","http://link.springer.com/chapter/10.1007/978-3-642-27186-1_44","Chapter"
"Query evaluation with null values: How complex is completeness?","Foundations of Software Technology and Theoretical Computer Science","","","","10.1007/3-540-52048-1_45","V. S. Lakshmanan","1989","http://link.springer.com/chapter/10.1007/3-540-52048-1_45","Chapter"
"OSCAR: OpenStreetMap Planet at Your Fingertips via OSm Cell ARrangements","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_11","Daniel BahrdtStefan Funke","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_11","Chapter"
"A basic scheme for concurrent logic programming","Conclog: A Methodological Approach to Concurrent Logic Programming","","","","10.1007/3-540-54938-2_5","","1991","http://link.springer.com/chapter/10.1007/3-540-54938-2_5","Chapter"
"Semantic Information Retrieval on Peer-to-Peer Networks","Networked Digital Technologies","","","","10.1007/978-3-642-14306-9_71","Mehmet Ali ErtürkA. Halim ZaimSelim Akyokuş","2010","http://link.springer.com/chapter/10.1007/978-3-642-14306-9_71","Chapter"
"Reasoning with Temporal Constraints in RDF","Principles and Practice of Semantic Web Reasoning","","","","10.1007/11853107_12","Carlos HurtadoAlejandro Vaisman","2006","http://link.springer.com/chapter/10.1007/11853107_12","Chapter"
"Ontological Engineering: Principles, Methods, Tools and Languages","Ontologies for Software Engineering and Software Technology","","","","10.1007/3-540-34518-3_1","Oscar CorchoMariano Fernández-LópezAsunción Gómez-Pérez","2006","http://link.springer.com/chapter/10.1007/3-540-34518-3_1","Chapter"
"Temporal RDF","The Semantic Web: Research and Applications","","","","10.1007/11431053_7","Claudio GutierrezCarlos HurtadoAlejandro Vaisman","2005","http://link.springer.com/chapter/10.1007/11431053_7","Chapter"
"A Focused Crawler with Ontology-Supported Website Models for Information Agents","Advances in Grid and Pervasive Computing","","","","10.1007/978-3-642-13067-0_54","Sheng-Yuan Yang","2010","http://link.springer.com/chapter/10.1007/978-3-642-13067-0_54","Chapter"
"Content-based image retrieval methods","Programming and Computer Software","","35","3","10.1134/S0361768809030049","N. S. Vassilieva","2009","http://link.springer.com/article/10.1134/S0361768809030049","Article"
"GraSS: An Efficient Method for RDF Subgraph Matching","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_8","Xuedong LyuXin WangYuan-Fang LiZhiyong FengJunhu Wang","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_8","Chapter"
"Automatic Selection of Noun Phrases as Document Descriptors in an FCA-Based Information Retrieval System","Formal Concept Analysis","","","","10.1007/978-3-540-32262-7_4","Juan M. CigarránAnselmo PeñasJulio GonzaloFelisa Verdejo","2005","http://link.springer.com/chapter/10.1007/978-3-540-32262-7_4","Chapter"
"Geospatial Semantic Web","Semantic Web: Concepts, Technologies and Applications","","","","10.1007/978-1-84628-710-7_14","","2007","http://link.springer.com/chapter/10.1007/978-1-84628-710-7_14","Chapter"
"Finger on the Pulse: The Value of the Activity Stream in the Enterprise","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40498-6_32","Ido GuyTal SteierMaya BarneaInbal RonenTal Daniel","2013","http://link.springer.com/chapter/10.1007/978-3-642-40498-6_32","Chapter"
"A Location Dependent Semantic Cache Replacement Strategy in Mobile Environment","Advances in Computer Science and Information Technology. Networks and Communications","","","","10.1007/978-3-642-27299-8_23","Kahkashan TabassumMahmood Quadri SyedA. Damodaram","2012","http://link.springer.com/chapter/10.1007/978-3-642-27299-8_23","Chapter"
"Optimization of Analytic Data Flows for Next Generation Business Intelligence Applications","Topics in Performance Evaluation, Measurement and Characterization","","","","10.1007/978-3-642-32627-1_4","Umeshwar DayalKevin WilkinsonAlkis SimitsisMalu CastellanosLupita Paz","2012","http://link.springer.com/chapter/10.1007/978-3-642-32627-1_4","Chapter"
"Browsing a Component Library Using Non-functional Information","Reliable Software Technologies — Ada-Europe’ 99","","","","10.1007/3-540-48753-0_29","Xavier FranchJosep PinyolJoan Vancells","1999","http://link.springer.com/chapter/10.1007/3-540-48753-0_29","Chapter"
"Connecting Legacy Code, Business Rules and Documentation","Rule Representation, Interchange and Reasoning on the Web","","","","10.1007/978-3-540-88808-6_5","Erik PutryczAnatol W. Kark","2008","http://link.springer.com/chapter/10.1007/978-3-540-88808-6_5","Chapter"
"On what Linda is: Formal description of Linda as a reactive system","Coordination Languages and Models","","","","10.1007/3-540-63383-9_81","David GelernterLenore Zuck","1997","http://link.springer.com/chapter/10.1007/3-540-63383-9_81","Chapter"
"Platform Independent Software Development Monitoring: Design of an Architecture","SOFSEM 2014: Theory and Practice of Computer Science","","","","10.1007/978-3-319-04298-5_12","Mária BielikováIvan PolášekMichal BarlaEduard KuricKarol RástočnýJozef TvarožekPeter Lacko","2014","http://link.springer.com/chapter/10.1007/978-3-319-04298-5_12","Chapter"
"Exploiting Title-Keywords Relation to Develop Concept Classifier for Scientific Community","Networked Digital Technologies","","","","10.1007/978-3-642-30567-2_37","Sher Afgun KhanMuhammad Tanvir AfzalMuhammad Abdul Qadir","2012","http://link.springer.com/chapter/10.1007/978-3-642-30567-2_37","Chapter"
"Multimedia Retrieval Algorithmics","SOFSEM 2007: Theory and Practice of Computer Science","","","","10.1007/978-3-540-69507-3_11","Remco C. Veltkamp","2007","http://link.springer.com/chapter/10.1007/978-3-540-69507-3_11","Chapter"
"Automatic Short Text Annotation for Question Answering System","Web Information Systems and Technologies","","","","10.1007/978-3-642-22810-0_18","Gang LiuZhi LuTianyong HaoWenyin Liu","2011","http://link.springer.com/chapter/10.1007/978-3-642-22810-0_18","Chapter"
"Evolution-Driven Trace Acquisition in Eclipse-Based Product Line Workspaces","Software and Systems Traceability","","","","10.1007/978-1-4471-2239-5_9","Wolfgang HeiderPaul GrünbacherRick RabiserMartin Lehofer","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2239-5_9","Chapter"
"A Quantitative Analysis of Semantic Information Retrieval Research Progress in China","Software Engineering, Business Continuity, and Education","","","","10.1007/978-3-642-27207-3_5","Xiaoyue WangRujiang BaiLiyun Kang","2011","http://link.springer.com/chapter/10.1007/978-3-642-27207-3_5","Chapter"
"A Greedy Approach for Adapting Web Content for Mobile Devices","Software Engineering and Computer Systems","","","","10.1007/978-3-642-22170-5_22","Rajibul AnamChin Kuan HoTek Yong Lim","2011","http://link.springer.com/chapter/10.1007/978-3-642-22170-5_22","Chapter"
