Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Supporting Query Formulation for Text Retrieval Applications in Software Engineering,S. Haiduc,NA,2014 IEEE International Conference on Software Maintenance and Evolution,,2014,,,657,662,,,,10.1109/ICSME.2014.117,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976161,text retrieval;query;query reformulation;query quality,Conferences;Software maintenance,query formulation;software engineering;text analysis,source code;TR query prediction;query reformulation;relevant information retrieval;software artifacts;textual information;TR techniques;software engineering;text retrieval applications;query formulation,,,,,,,,,,IEEE,IEEE Conferences
Can the use of types and query expansion help improve large-scale code search?,O. A. L. Lemos; A. C. de Paula; H. Sajnani; C. V. Lopes,"Science and Technology Department - Federal University of São Paulo at S. J. dos Campos - Brazil; Science and Technology Department - Federal University of São Paulo at S. J. dos Campos - Brazil; Donald Bren School of Information and Computer Sciences - University of California, Irvine - USA; Donald Bren School of Information and Computer Sciences - University of California, Irvine - USA",2015 IEEE 15th International Working Conference on Source Code Analysis and Manipulation (SCAM),,2015,,,41,50,,,,10.1109/SCAM.2015.7335400,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7335400,software reuse;code search;query expansion,Search engines;Java;Context;Thesauri;Natural languages;Semantics;Databases,Java;query processing;software reusability;user interfaces,query expansion;open source code movement;software reuse;interface-driven code search;IDCS;keyword-based code search;KBCS;auxiliary function;Java;WordNet;relevant function returned;RFR,,,,,,,,,,IEEE,IEEE Conferences
RACK: Automatic API Recommendation Using Crowdsourced Knowledge,M. M. Rahman; C. K. Roy; D. Lo,NA; NA; NA,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",,2016,1,,349,359,,,,10.1109/SANER.2016.80,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476656,Code search;query reformulation;keyword-API association;crowdsourced knowledge;Stack Overflow,Java;Natural languages;Vocabulary;Programming;Standards;Search engines;Libraries,application program interfaces;Java;natural language processing;query formulation;recommender systems;search engines;software packages,automatic API recommendation using crowdsourced knowledge;programming API;code search engines;code search query;natural language query;keyword-API associations;Stack Overflow;Java packages;Java posts;Java tutorial sites;mean average precision;mean recall,,,,,,,,,,IEEE,IEEE Conferences
How developers use multi-recommendation system in local code search,X. Ge; D. Shepherd; K. Damevski; E. Murphy-Hill,"Department of Computer Science, NC State University, Raleigh, NC, USA; ABB Inc., Raleigh, NC, USA; Mathematics and Computer Science Department, Virginia State University, Petersburg, VA, USA; Department of Computer Science, NC State University, Raleigh, NC, USA",2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),,2014,,,69,76,,,,10.1109/VLHCC.2014.6883025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883025,,Thesauri;Tag clouds;Indexing;Software engineering;Visualization;Sparse matrices,programming;query processing;recommender systems,multirecommendation system;local code search;programming tasks;local codebase;search tools;query recommendation techniques;Sando recommendations;manual queries,,,,,,,,,,IEEE,IEEE Conferences
Query Expansion Based on Crowd Knowledge for Code Search,L. Nie; H. Jiang; Z. Ren; Z. Sun; X. Li,"School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China; School of Software, Dalian University of Technology, Dalian, China",IEEE Transactions on Services Computing,,2016,9,5,771,783,,,,10.1109/TSC.2016.2560165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462267,Code search;crowd knowledge;query expansion;information retrieval;question & answer pair,Software;Software engineering;Search problems;Search engines;Thesauri,query processing;question answering (information retrieval);relevance feedback;search problems;software engineering;text analysis;word processing,query expansion based on crowd knowledge;code search method;software development;text retrieval;search technique;software-specific expansion word;relevance feedback;question and answer pair;Stack Overflow;Rocchio model;QECK<sub>Rocchio</sub>,,,,,,,,,,IEEE,IEEE Journals & Magazines
A multi-block scheme for searching source codes,S. Hsu; S. Lin,"Department of Information Management, Nanya Institute of Technology, Jhongli, Taiwan, ROC; Department of Information Management, National Central University, Jhongli, Taiwan, ROC",2010 International Computer Symposium (ICS2010),,2010,,,608,613,,,,10.1109/COMPSYM.2010.5685441,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5685441,code search;code retrieval;multi-block scheme;vector space model,Indexing;Google;Search engines;Software;Web pages,information filtering;Internet;meta data;search engines;software engineering;text analysis,multiblock scheme;software source code searching;Internet;information retrieval;source code search engine;Google Code Search;source code files;API-statements;code-data block;metadata block;word filtering;auto block-specified query processing,,,,,,,,,,IEEE,IEEE Conferences
Using ontology fragments in concept location,L. A. Wilson,"Department of Computer Science, Wayne State University, Detroit, MI USA",2010 IEEE International Conference on Software Maintenance,,2010,,,1,2,,,,10.1109/ICSM.2010.5609555,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609555,concept location;program comprehension;software maintenance,Software maintenance,ontologies (artificial intelligence);query formulation;source coding,ontology fragment;concept location;source code fragment;query formulation,,,,,,,,,,IEEE,IEEE Conferences
Mining search topics from a code search engine usage log,S. Bajracharya; C. Lopes,"Donald Bren School of Information and Computer Sciences, University of California, Irvine, USA; Donald Bren School of Information and Computer Sciences, University of California, Irvine, USA",2009 6th IEEE International Working Conference on Mining Software Repositories,,2009,,,111,120,,,,10.1109/MSR.2009.5069489,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5069489,,Search engines;Open source software;Information analysis;Internet;Crawlers;Indexes;Solids;Linear discriminant analysis;Relational databases,data mining;query processing;search engines,milling search topics;code search engine usage log;ofKoders;general categorization,,,,,,,,,,IEEE,IEEE Conferences
A case study of paired interleaving for evaluating code search techniques,K. Damevski; D. Shepherd; L. Pollock,"Virginia State University Petersburg, VA 23806, USA; ABB, Inc. Raleigh, NC 27606, USA; University of Delaware Newark, DE 19350, USA","2014 Software Evolution Week - IEEE Conference on Software Maintenance, Reengineering, and Reverse Engineering (CSMR-WCRE)",,2014,,,54,63,,,,10.1109/CSMR-WCRE.2014.6747225,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6747225,code search;feature location;online paired interleaving;field studies,Gold;Visualization;Software maintenance;Internet;Search engines;Context,Internet;query processing;search engines;software maintenance;software tools;source code (software),evaluating code search techniques;source code search tools;code querying;online paired interleaving approach;Internet search engines;IDE;software maintenance,,,,,,,,,,IEEE,IEEE Conferences
Poster: Improving Bug Localization with Report Quality Dynamics and Query Reformulation,M. M. Rahman; C. Roy,NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),,2018,,,348,349,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449572,Debugging automation;bug localization;information retrieval;query reformulation;report quality dynamics,Computer bugs;Software;Engines;Information retrieval;Software engineering;Noise measurement;Robustness,,,,,,,,,,,,IEEE,IEEE Conferences
